KZ11W:,KZ11C:,SD13L:,SolarZenithAngle,CloudTransmittance,CloudOpticalDepth
318.15277777777777,15.830555555555556,26249.222222222223,69.27255529822548,0.9521468670917973,-1.2796593764639566
318.21111111111117,15.477777777777776,26404.166666666668,69.18012428858532,0.9476321772669611,-1.2142989389448797
321.5425925925926,15.20185185185185,26614.11111111111,69.06972636519832,0.9519578789634076,-1.2490455710739337
324.08000000000004,14.918181818181818,26869.70909090909,68.95865457665766,0.9538657213359932,-1.255643941915959
328.7351851851852,14.675925925925926,27268.555555555555,68.84804054499567,0.961975023235499,-1.3343015088972225
331.0290909090909,14.396363636363638,27499.18181818182,68.7379479266839,0.9631506421525465,-1.3325605677780434
332.3740740740741,14.261111111111111,27642.37037037037,68.62827061848343,0.9615917437640082,-1.299148125687653
334.98,14.105454545454545,27815.672727272726,68.51923064623671,0.9637128763051636,-1.3085521195324679
337.1296296296296,13.874074074074075,27973.462962962964,68.41057003068349,0.9645270998940486,-1.3028504071851548
337.6472727272727,13.7,28021.890909090907,68.30255377718635,0.9607237380153414,-1.2436510733557198
338.67777777777775,13.575925925925926,28135.40740740741,68.1949554165172,0.9584366470547979,-1.2021213471478034
341.2462962962963,13.47037037037037,28377.25925925926,68.08857468440335,0.9605651207642985,-1.2120260113459047
342.97636363636366,13.365454545454545,28464.581818181818,67.98174846246009,0.9603054674277886,-1.1941595628071222
345.3777777777778,13.3,28662.277777777777,67.8753443526572,0.961941770440223,-1.1983702936162142
350.6545454545454,13.27090909090909,29125.6,67.76947677229487,0.9715564218508074,-1.2952755260889552
353.237037037037,13.148148148148149,29312.203703703704,67.66428606580018,0.9736807086503123,-1.305341110050225
354.4981818181818,12.954545454545455,29438.054545454546,67.5593824770253,0.9721765379910601,-1.2733400654488995
356.09444444444443,12.9,29624.574074074073,67.4549335165719,0.9716266227640973,-1.2524895048855824
358.5444444444445,12.853703703703705,29786.444444444445,67.35182086260755,0.9734657602532895,-1.2595657659189425
361.6181818181818,12.718181818181819,30057.21818181818,67.24827896528427,0.9769550918601748,-1.2857480676214637
363.9654545454545,12.572727272727272,30231.054545454546,67.14466802576975,0.9784571523949861,-1.2888643787904046
365.0444444444445,12.503703703703705,30348.925925925927,67.04231082221261,0.9766127188611253,-1.2533201491850419
365.7148148148148,12.525925925925925,30445.35185185185,66.94129200490103,0.9737624896683998,-1.2062964267798066
367.74545454545455,12.5,30630.29090909091,66.83968870764008,0.9745204642052533,-1.201084920785925
370.4648148148148,12.498148148148148,30894.74074074074,66.73847243485842,0.9771084711471717,-1.2171794924313046
374.9092592592592,12.346296296296297,31225.87037037037,66.63895485802553,0.9842813039613655,-1.2867369219772893
376.33090909090913,12.236363636363636,31398.654545454545,66.53890518072127,0.9834677738395763,-1.2635295327656446
376.3703703703704,12.21111111111111,31434.814814814814,66.43959519275943,0.979102350517055,-1.1992055243698603
379.0854545454546,12.2,31673.236363636363,66.34088143946813,0.9817350584552584,-1.2162046958099926
381.2907407407408,12.22962962962963,31863.5,66.24275851891805,0.9830591753013362,-1.2181056627492919
382.89818181818185,12.3,31997.254545454547,66.14472520338842,0.9828439531310194,-1.2021611461924373
383.9166666666667,12.3,32096.11111111111,66.04731574597622,0.9811559012890849,-1.1692163621746718
386.3527272727273,12.28,32303.872727272726,65.95043593832109,0.9831157580183733,-1.1786973625619652
382.19117647058823,12.2,32429.176470588234,65.87158889757879,0.9691207564248737,-1.005458972035205
