Time  	KZ11W:	KZ11C:	SD13L:
10:57:21 82.6	17.9	9731	

10:57:22 82.6	17.8	9728	

10:57:23 82.8	17.8	9726	

10:57:24 83.0	17.8	9725	

10:57:25 83.0	17.8	9723	

10:57:26 83.2	17.8	9722	

10:57:27 83.2	17.7	9720	

10:57:28 83.2	17.7	9718	

10:57:29 83.1	17.7	9718	

10:57:30 82.9	17.7	9717	

10:57:32 82.8	17.7	9716	

10:57:33 82.5	17.6	9716	

10:57:34 82.3	17.6	9715	

10:57:35 81.8	17.6	9716	

10:57:36 81.6	17.6	9715	

10:57:37 81.6	17.6	9715	

10:57:38 81.5	17.6	9713	

10:57:39 81.5	17.6	9711	

10:57:40 81.4	17.5	9705	

10:57:41 81.2	17.5	9698	

10:57:43 81.2	17.5	9689	

10:57:44 81.2	17.5	9683	

10:57:45 81.2	17.5	9677	

10:57:46 81.2	17.5	9669	

10:57:47 81.1	17.5	9666	

10:57:48 81.1	17.5	9656	

10:57:49 81.1	17.5	9649	

10:57:50 81.2	17.4	9642	

10:57:51 81.1	17.4	9637	

10:57:52 81.0	17.4	9630	

10:57:54 81.0	17.4	9626	

10:57:55 81.0	17.4	9620	

10:57:56 81.1	17.4	9615	

10:57:57 81.1	17.4	9613	

10:57:58 81.1	17.3	9606	

10:57:59 81.0	17.3	9602	

10:58:00 80.8	17.3	9597	

10:58:01 80.8	17.3	9593	

10:58:02 80.8	17.3	9588	

10:58:03 80.7	17.3	9584	

10:58:05 80.6	17.2	9580	

10:58:06 80.5	17.2	9577	

10:58:07 80.3	17.2	9573	

10:58:08 80.1	17.2	9571	

10:58:09 79.9	17.2	9565	

10:58:10 79.7	17.2	9561	

10:58:11 79.5	17.2	9556	

10:58:12 79.4	17.1	9553	

10:58:13 79.3	17.1	9550	

10:58:14 79.1	17.1	9545	

10:58:16 79.1	17.1	9541	

10:58:17 79.0	17.1	9536	

10:58:18 79.0	17.1	9532	

10:58:19 79.0	17.1	9525	

10:58:20 78.9	17.1	9521	

10:58:21 78.8	17.1	9515	

10:58:22 78.7	17	9510	

10:58:23 78.8	17	9504	

10:58:24 78.8	17	9500	

10:58:26 78.8	17	9496	

10:58:27 78.8	17	9490	

10:58:28 78.8	17	9487	

10:58:29 78.9	17	9481	

10:58:30 78.8	17	9478	

10:58:31 78.8	17	9472	

10:58:32 78.8	17	9468	

10:58:33 78.8	16.9	9462	

