Time  	KZ11W:	KZ11C:	SD13L:
10:44:07 1	-20	14360	
10:44:08 2	-20	14369	
10:44:09 3	-20	14374	
10:44:10 4	-20	14382	
10:44:11 5	-20	14393	
10:44:12 6	-20	14399	
10:44:13 7	-20	14405	
10:44:14 8	-20	14415	
10:44:15 9	-20	14421	
10:44:16 10	-20	14428	
10:44:17 11	-20	14438	
10:44:18 12	-20	14444	
10:44:19 13	-20	14450	
10:44:20 14	-20	14460	
10:44:21 15	-20	14466	
10:44:22 16	-20	14474	
10:44:23 17	-20	14484	
10:44:24 18	-20	14490	
10:44:25 19	-20	14496	
10:44:26 20	-20	14506	
10:44:27 21	-20	14512	
10:44:28 22	-20	14518	
10:44:30 23	-20	14524	
10:44:31 24	-20	14536	
10:44:32 25	-20	14542	
10:44:33 26	-20	14547	
10:44:34 27	-20	14556	
10:44:35 28	-20	14562	
10:44:36 29	-20	14568	
10:44:37 30	-20	14577	
10:44:39 31	-20	14592	
10:44:40 32	-20	14598	
10:44:41 33	-20	14604	
10:44:42 34	-20	14613	
10:44:43 35	-20	14619	
10:44:44 36	-20	14625	
10:44:45 37	-20	14634	
10:44:46 38	-20	14641	
10:44:47 39	-20	14646	
10:44:49 40	-20	14654	
10:44:50 41	-20	14660	
10:44:51 42	-20	14666	
10:44:52 43	-20	14675	
10:44:53 44	-20	14680	
10:44:54 45	-20	14686	
10:44:55 46	-20	14695	
10:44:56 47	-20	14701	
10:44:57 48	-20	14707	
10:44:58 49	-20	14715	
10:44:59 50	-20	14721	
10:45:00 51	-20	14727	
10:45:01 52	-20	14737	
10:45:02 53	-20	14742	
10:45:03 54	-20	14747	
10:45:04 55	-20	14755	
10:45:05 56	-20	14761	
10:45:06 57	-20	14767	
10:45:07 58	-20	14775	
10:45:08 59	-20	14780	
10:45:09 60	-20	14785	
10:45:11 61	-20	14793	
10:45:12 62	-20	14798	
10:45:13 63	-20	14802	
10:45:14 64	-20	14810	
10:45:15 65	-20	14815	
10:45:16 66	-20	14820	
10:45:17 67	-20	14827	
10:45:18 68	-20	14832	
10:45:19 69	-20	14837	
10:45:20 70	-20	14843	
10:45:21 71	-20	14848	
10:45:22 72	-20	14851	
10:45:23 73	-20	14858	
10:45:24 74	-20	14863	
10:45:25 75	-20	14866	
10:45:26 76	-20	14873	
10:45:27 77	-20	14878	
10:45:28 78	-20	14881	
10:45:29 79	-20	14886	
10:45:30 80	-20	14890	
10:45:31 81	-20	14893	
10:45:33 82	-20	14898	
10:45:34 83	-20	14901	
10:45:35 84	-20	14905	
10:45:36 85	-20	14910	
10:45:37 86	-20	14914	
10:45:38 87	-20	14917	
10:45:39 88	-20	14921	
10:45:40 89	-20	14924	
10:45:41 90	-20	14927	
10:45:42 91	-20	14930	
10:45:43 92	-20	14934	
10:45:44 93	-20	14937	
10:45:45 94	-20	14940	
10:45:46 95	-20	14943	
10:45:47 96	-20	14946	
10:45:48 97	-20	14949	
10:45:49 98	-20	14952	
10:45:50 99	-20	14955	
10:45:51 100	-20	14958	
10:45:52 101	-20	14961	
10:45:53 102	-20	14963	
10:45:55 103	-20	14967	
10:45:56 104	-20	14969	
10:45:57 105	-20	14970	
10:45:58 106	-20	14974	
10:45:59 107	-20	14976	
