Time  	SD13L:
10:47:29 15031	
10:47:30 15030	
10:47:31 15030	
10:47:32 15029	
10:47:33 15029	
10:47:34 15029	
10:47:35 15029	
10:47:36 15030	
10:47:37 15029	
10:47:39 15029	
10:47:40 15027	
10:47:41 15027	
10:47:42 15027	
10:47:43 15027	
10:47:44 15027	
10:47:45 15026	
10:47:46 15026	
10:47:47 15026	
10:47:48 15026	
10:47:49 15026	
10:47:50 15026	
10:47:51 15026	
10:47:52 15026	
10:47:53 15026	
10:47:54 15026	
10:47:55 15027	
10:47:56 15026	
10:47:57 15026	
10:47:58 15025	
10:47:59 15026	
10:48:00 15026	
10:48:01 15026	
10:48:02 15026	
10:48:04 15026	
10:48:05 15026	
10:48:06 15027	
10:48:07 15026	
10:48:08 15026	
10:48:09 15027	
10:48:10 15027	
10:48:11 15027	
10:48:12 15026	
10:48:13 15027	
10:48:14 15029	
10:48:15 15028	
10:48:16 15028	
10:48:17 15028	
10:48:18 15028	
10:48:19 15029	
10:48:20 15029	
10:48:21 15029	
10:48:22 15030	
10:48:23 15030	
10:48:24 15032	
10:48:25 15032	
10:48:26 15032	
10:48:27 15032	
10:48:28 15032	
10:48:30 15032	
10:48:31 15034	
10:48:32 15034	
10:48:33 15034	
10:48:34 15035	
10:48:35 15035	
10:48:36 15037	
10:48:37 15038	
10:48:38 15039	
10:48:39 15040	
10:48:40 15041	
10:48:41 15042	
10:48:42 15044	
10:48:43 15045	
10:48:44 15045	
10:48:45 15048	
10:48:46 15050	
10:48:47 15051	
10:48:48 15053	
10:48:49 15053	
10:48:50 15055	
10:48:51 15057	
10:48:52 15058	
10:48:53 15059	
10:48:54 15063	
10:48:55 15064	
10:48:57 15064	
10:48:58 15066	
10:48:59 15067	
10:49:00 15069	
10:49:01 15070	
10:49:02 15071	
10:49:03 15073	
10:49:04 15075	
10:49:05 15076	
10:49:06 15077	
10:49:07 15079	
10:49:08 15082	
10:49:09 15082	
10:49:10 15085	
10:49:11 15085	
10:49:12 15086	
10:49:13 15089	
10:49:14 15091	
10:49:15 15094	
10:49:16 15097	
10:49:17 15100	
10:49:18 15100	
10:49:19 15102	
10:49:20 15104	
10:49:21 15104	
10:49:22 15106	
10:49:24 15110	
10:49:25 15113	
10:49:26 15115	
10:49:27 15117	
10:49:28 15120	
10:49:29 15121	
10:49:30 15124	
10:49:31 15126	
10:49:32 15128	
10:49:33 15131	
10:49:34 15132	
10:49:35 15135	
10:49:36 15138	
10:49:37 15140	
10:49:38 15141	
10:49:39 15144	
10:49:40 15149	
10:49:41 15149	
10:49:42 15152	
10:49:43 15156	
10:49:44 15159	
10:49:45 15160	
10:49:46 15164	
10:49:47 15165	
10:49:49 15168	
10:49:50 15171	
10:49:51 15173	
10:49:52 15176	
10:49:53 15179	
10:49:54 15179	
10:49:55 15181	
10:49:56 15184	
10:49:57 15186	
10:49:58 15188	
10:49:59 15191	
10:50:00 15194	
10:50:01 15196	
10:50:02 15199	
10:50:03 15202	
10:50:04 15203	
10:50:05 15206	
10:50:06 15208	
10:50:07 15212	
10:50:08 15212	
10:50:09 15216	
10:50:10 15217	
10:50:11 15220	
10:50:12 15222	
10:50:13 15224	
10:50:15 15226	
