Time  	SD13L:
10:32:34 11824	
10:32:35 11818	
10:32:36 11795	
10:32:37 11350	
10:32:39 11497	
10:32:40 11552	
10:32:41 11503	
10:32:42 11511	
10:32:43 11498	
10:32:44 11296	
10:32:45 11813	
10:32:46 11807	
10:32:47 11809	
10:32:48 11812	
10:32:49 11819	
10:32:50 11788	
10:32:51 11698	
10:32:52 11728	
10:32:53 11716	
10:32:54 11673	
10:32:55 11227	
10:32:56 11565	
10:32:57 11627	
10:32:58 11500	
10:32:59 11535	
10:33:00 11364	
10:33:01 10901	
10:33:02 10820	
10:33:04 10818	
10:33:05 10997	
10:33:06 10874	
10:33:07 10962	
10:33:08 10960	
10:33:09 10962	
10:33:10 11003	
10:33:11 10906	
10:33:12 11123	
10:33:13 11134	
10:33:14 11477	
10:33:15 11547	
10:33:16 11567	
10:33:17 11571	
10:33:18 11553	
10:33:19 11556	
10:33:20 11526	
10:33:21 11435	
10:33:22 11434	
10:33:23 11532	
10:33:24 11499	
10:33:25 11506	
10:33:26 11451	
10:33:27 11596	
10:33:29 11644	
10:33:30 11545	
10:33:31 11410	
10:33:32 11337	
10:33:33 11249	
10:33:34 11145	
10:33:35 11296	
10:33:36 11031	
10:33:37 11243	
10:33:38 11259	
10:33:39 11263	
10:33:40 11266	
10:33:41 11260	
10:33:42 11257	
10:33:43 11258	
10:33:44 11241	
10:33:45 11238	
10:33:46 11239	
10:33:47 11197	
10:33:48 10965	
10:33:49 11248	
10:33:50 11331	
10:33:52 11364	
10:33:53 11379	
10:33:54 11360	
10:33:55 11353	
10:33:56 11335	
10:33:57 11314	
10:33:58 11308	
10:33:59 11430	
10:34:00 11317	
10:34:01 11269	
10:34:02 11370	
10:34:03 11332	
10:34:04 11337	
10:34:05 11339	
10:34:06 11325	
10:34:07 11343	
10:34:08 11431	
10:34:09 11340	
10:34:10 11381	
10:34:11 11402	
10:34:12 11397	
10:34:13 11395	
10:34:14 11408	
10:34:15 11423	
10:34:16 11346	
10:34:18 11372	
10:34:19 11460	
10:34:20 11477	
10:34:21 11464	
10:34:22 11452	
10:34:23 11459	
10:34:24 11481	
10:34:25 11414	
10:34:26 11251	
10:34:27 11095	
10:34:28 11317	
10:34:29 11733	
10:34:30 11904	
10:34:31 11935	
10:34:32 11942	
10:34:33 11942	
10:34:34 11942	
10:34:35 11941	
10:34:36 11941	
10:34:37 11940	
10:34:38 11939	
10:34:39 11939	
10:34:40 11939	
10:34:41 11937	
10:34:43 11938	
10:34:44 11937	
10:34:45 11937	
10:34:46 11936	
10:34:47 11936	
10:34:48 11936	
10:34:49 11935	
10:34:50 11935	
10:34:51 11934	
10:34:52 11934	
10:34:53 11933	
10:34:54 11932	
10:34:55 11932	
10:34:56 11931	
10:34:57 11933	
10:34:58 11931	
10:34:59 11931	
10:35:00 11931	
10:35:01 11931	
10:35:02 11930	
10:35:03 11930	
10:35:04 11930	
10:35:05 11931	
10:35:06 11930	
10:35:07 11930	
10:35:09 11930	
10:35:10 11930	
10:35:11 11930	
10:35:12 11930	
10:35:13 11930	
10:35:14 11930	
10:35:15 11931	
10:35:16 11931	
10:35:17 11931	
10:35:18 11930	
10:35:19 11931	
10:35:20 11931	
10:35:21 11931	
10:35:22 11931	
10:35:23 11932	
10:35:24 11931	
10:35:25 11932	
10:35:26 11932	
10:35:27 11930	
10:35:28 11931	
10:35:29 11931	
10:35:30 11934	
10:35:31 11934	
10:35:32 11935	
10:35:34 11936	
10:35:35 11936	
10:35:36 11936	
10:35:37 11937	
10:35:38 11937	
10:35:39 11937	
10:35:40 11937	
10:35:41 11939	
10:35:42 11939	
10:35:43 11939	
10:35:44 11939	
10:35:45 11937	
10:35:46 11938	
10:35:47 11939	
10:35:48 11940	
10:35:49 11940	
10:35:50 11941	
10:35:51 11941	
10:35:52 11942	
10:35:53 11943	
10:35:54 11943	
10:35:55 11944	
10:35:56 11945	
10:35:57 11946	
10:35:58 11946	
10:35:59 11948	
10:36:01 11950	
10:36:02 11952	
10:36:03 11952	
10:36:04 11953	
10:36:05 11954	
10:36:06 11954	
10:36:07 11954	
10:36:08 11953	
10:36:09 11952	
10:36:10 11953	
10:36:11 11937	
10:36:12 11841	
10:36:13 11659	
10:36:14 11509	
10:36:15 11443	
10:36:16 11321	
10:36:17 11405	
10:36:18 11403	
10:36:19 11342	
10:36:20 11328	
10:36:21 11297	
10:36:22 11059	
10:36:23 10769	
10:36:24 10796	
10:36:25 10790	
10:36:26 10764	
10:36:28 11222	
10:36:29 11297	
10:36:30 11356	
10:36:31 11373	
