Time  	KZ11W:	KZ11C:	SD13L:
11:11:12 131.5	18.3	15246	
11:11:14 131.7	18.3	15262	
11:11:15 131.8	18.2	15271	
11:11:16 132.0	18.2	15279	
11:11:17 132.2	18.2	15290	
11:11:18 132.4	18.2	15296	
11:11:19 132.3	18.2	15304	
11:11:20 132.4	18.2	15306	
11:11:21 132.5	18.2	15309	
11:11:22 132.5	18.2	15310	
11:11:23 132.6	18.2	15307	
11:11:25 132.6	18.2	15305	
11:11:26 132.6	18.2	15298	
11:11:27 132.5	18.2	15290	
11:11:28 132.5	18.1	15277	
11:11:29 132.5	18.1	15266	
11:11:30 132.5	18.1	15250	
11:11:31 132.4	18.1	15239	
11:11:32 132.2	18.1	15224	
11:11:33 132.2	18.1	15200	
11:11:35 131.9	18.1	15183	
11:11:36 131.7	18.1	15153	
11:11:37 131.5	18.1	15133	
11:11:38 131.3	18.1	15098	
11:11:39 130.8	18.1	15074	
11:11:40 130.4	18.1	15036	
11:11:41 130.3	18.1	15008	
11:11:42 130.0	18	14966	
11:11:43 129.5	18	14935	
11:11:45 129.3	18	14887	
11:11:46 128.5	18	14854	
11:11:47 128.4	18	14804	
11:11:48 128.0	18	14768	
11:11:49 127.9	18	14714	
11:11:50 127.1	18	14677	
11:11:51 126.9	18	14620	
11:11:52 126.3	18	14581	
11:11:53 125.8	18	14522	
11:11:54 125.6	18	14481	
11:11:56 125.0	18	14420	
11:11:57 124.5	18	14378	
11:11:58 124.1	18	14336	
11:11:59 123.9	18	14273	
11:12:00 123.1	18	14229	
11:12:01 122.8	18	14164	
11:12:02 122.3	18	14119	
11:12:03 121.9	18	14053	
11:12:04 121.3	17.9	14010	
11:12:06 120.8	17.9	13943	
11:12:07 120.3	17.9	13898	
11:12:08 120.0	17.9	13833	
11:12:09 119.3	17.9	13788	
11:12:10 119.0	17.9	13720	
11:12:11 118.3	17.9	13676	
11:12:12 117.9	17.9	13611	
11:12:13 117.4	17.9	13567	
11:12:14 117.1	17.9	13502	
11:12:16 116.7	17.9	13458	
11:12:17 116.0	17.9	13393	
11:12:18 115.5	17.9	13350	
11:12:19 115.1	17.9	13307	
11:12:20 114.6	17.9	13244	
11:12:21 114.3	17.9	13202	
11:12:22 113.6	17.9	13138	
11:12:23 113.1	17.9	13096	
11:12:24 112.7	17.9	13036	
11:12:26 112.1	17.9	12994	
11:12:27 111.7	17.8	12933	
11:12:28 111.3	17.8	12892	
11:12:29 110.7	17.8	12832	
11:12:30 110.4	17.8	12790	
11:12:31 109.7	17.8	12731	
11:12:32 109.4	17.8	12692	
11:12:33 108.9	17.8	12631	
11:12:34 108.4	17.8	12591	
11:12:35 108.1	17.8	12533	
11:12:37 107.4	17.8	12492	
11:12:38 107.2	17.8	12434	
11:12:39 106.5	17.8	12395	
11:12:40 106.2	17.8	12335	
11:12:41 105.6	17.8	12296	
11:12:42 105.3	17.8	12256	
11:12:43 104.9	17.8	12197	
11:12:44 104.4	17.8	12157	
11:12:45 104.0	17.8	12097	
11:12:47 103.3	17.8	12057	
11:12:48 102.8	17.8	11996	
11:12:49 102.4	17.8	11956	
11:12:50 101.9	17.8	11895	
11:12:51 101.7	17.8	11854	
11:12:52 101.0	17.8	11794	
11:12:53 100.6	17.8	11753	
11:12:54 100.1	17.8	11691	
11:12:55 99.8	17.8	11650	
11:12:57 99.1	17.8	11587	
11:12:58 98.8	17.7	11547	
11:12:59 98.2	17.7	11483	
11:13:00 97.5	17.7	11441	
11:13:01 97.2	17.7	11379	
11:13:02 97.2	17.7	11337	
11:13:03 97.0	17.7	11275	
11:13:04 96.4	17.7	11232	
11:13:05 95.9	17.7	11191	
11:13:07 95.7	17.7	11128	
11:13:08 94.9	17.7	11087	
11:13:09 94.5	17.7	11025	
11:13:10 94.5	17.7	10984	
11:13:11 94.2	17.7	10923	
11:13:12 93.6	17.7	10882	
11:13:13 93.2	17.7	10823	
11:13:14 92.5	17.7	10783	
11:13:15 92.1	17.7	10725	
11:13:16 91.7	17.7	10687	
11:13:18 91.1	17.6	10630	
11:13:19 90.7	17.6	10593	
11:13:20 90.4	17.6	10557	
11:13:21 90.0	17.6	10504	
11:13:22 89.6	17.6	10467	
11:13:23 89.5	17.6	10417	
11:13:24 89.1	17.6	10384	
11:13:25 88.6	17.6	10336	
11:13:26 88.3	17.6	10303	
11:13:27 88.0	17.6	10257	
11:13:29 87.9	17.6	10228	
11:13:30 87.1	17.6	10185	
11:13:31 86.9	17.6	10156	
11:13:32 86.5	17.6	10116	
11:13:33 86.3	17.6	10091	
11:13:34 86.1	17.5	10054	
11:13:35 86.0	17.5	10030	
11:13:36 85.6	17.5	9996	
11:13:37 85.1	17.5	9973	
11:13:39 84.9	17.5	9943	
11:13:40 84.6	17.5	9923	
11:13:41 84.6	17.5	9904	
11:13:42 84.4	17.5	9877	
11:13:43 83.9	17.5	9859	
11:13:44 83.9	17.5	9835	
11:13:45 83.7	17.5	9821	
11:13:46 83.5	17.5	9799	
11:13:47 83.3	17.5	9785	
11:13:49 83.1	17.5	9766	
11:13:50 83.0	17.5	9755	
11:13:51 82.8	17.5	9738	
11:13:52 82.7	17.5	9728	
11:13:53 82.6	17.5	9714	
11:13:54 82.6	17.4	9706	
11:13:55 82.5	17.5	9694	
11:13:56 82.3	17.5	9686	
11:13:57 82.2	17.4	9677	
11:13:59 82.3	17.4	9672	
11:14:00 82.3	17.4	9666	
11:14:01 82.3	17.4	9663	
11:14:02 82.3	17.4	9657	
11:14:03 82.2	17.4	9654	
11:14:04 82.2	17.4	9651	
11:14:05 82.2	17.4	9650	
11:14:06 82.1	17.4	9650	
11:14:07 82.0	17.4	9651	
11:14:09 82.0	17.4	9651	
11:14:10 82.0	17.4	9654	
11:14:11 82.1	17.3	9657	
11:14:12 82.1	17.3	9663	
11:14:13 82.1	17.3	9666	
11:14:14 82.0	17.3	9675	
11:14:15 82.0	17.3	9681	
11:14:16 82.0	17.3	9691	
11:14:17 82.1	17.3	9698	
11:14:19 82.2	17.3	9711	
11:14:20 82.3	17.3	9719	
11:14:21 82.4	17.3	9735	
11:14:22 82.4	17.3	9745	
11:14:23 82.5	17.3	9764	
11:14:24 82.6	17.3	9777	
11:14:25 82.8	17.3	9796	
11:14:26 82.9	17.3	9812	
11:14:27 83.0	17.3	9827	
11:14:28 83.2	17.3	9850	
11:14:30 83.2	17.2	9866	
11:14:31 83.3	17.2	9893	
11:14:32 83.4	17.2	9913	
11:14:33 83.7	17.2	9940	
11:14:34 83.9	17.2	9961	
11:14:35 84.2	17.2	9993	
11:14:36 84.4	17.2	10014	
11:14:37 84.5	17.2	10047	
11:14:38 84.7	17.2	10070	
11:14:40 84.9	17.2	10106	
11:14:41 85.1	17.2	10129	
11:14:42 85.6	17.2	10167	
11:14:43 85.9	17.2	10192	
11:14:44 86.4	17.2	10218	
11:14:45 86.8	17.2	10257	
11:14:46 86.9	17.2	10284	
11:14:47 87.2	17.2	10324	
11:14:48 87.5	17.2	10352	
11:14:49 88.0	17.2	10395	
11:14:51 88.3	17.2	10422	
11:14:52 88.5	17.2	10463	
11:14:53 89.2	17.1	10493	
11:14:54 89.5	17.1	10537	
11:14:55 89.7	17.1	10566	
11:14:56 90.2	17.1	10610	
11:14:57 90.5	17.1	10640	
11:14:58 90.9	17.1	10685	
11:14:59 91.2	17.1	10715	
11:15:00 91.5	17.1	10746	
11:15:02 91.6	17.1	10792	
11:15:03 92.1	17.1	10823	
11:15:04 92.5	17.1	10870	
11:15:05 92.7	17.1	10901	
11:15:06 93.1	17.1	10947	
11:15:07 93.4	17.1	10980	
11:15:08 93.9	17.1	11027	
11:15:09 93.9	17.1	11059	
11:15:10 94.4	17.1	11106	
11:15:12 94.7	17.1	11137	
11:15:13 94.9	17.1	11184	
11:15:14 95.4	17.1	11218	
11:15:15 95.7	17.1	11263	
11:15:16 96.1	17.1	11293	
11:15:17 96.2	17.1	11341	
11:15:18 96.8	17.1	11370	
11:15:19 97.1	17.1	11415	
