Time  	KZ11W:	KZ11C:	SD13L:
10:03:59 413.4	20.6	31721	
10:04:00 417.8	20.6	31573	
10:04:01 413.7	20.6	30495	
10:04:02 398.4	20.6	28854	
10:04:03 366.9	20.6	25656	
10:04:04 334.2	20.6	24088	
10:04:05 319.4	20.6	24506	
10:04:06 323.9	20.6	25391	
10:04:07 331.7	20.6	25941	
10:04:08 331.9	20.6	25850	
10:04:10 325.1	20.6	24913	
10:04:11 314.5	20.6	24267	
10:04:12 298.2	20.6	22581	
10:04:13 286.9	20.6	23057	
10:04:14 294.8	20.6	24057	
10:04:15 303.4	20.6	24779	
10:04:16 308.6	20.6	25023	
10:04:17 303.2	20.6	23794	
10:04:18 287.6	20.6	22935	
10:04:20 284.4	20.6	23683	
10:04:21 296.4	20.6	24848	
10:04:22 303.1	20.6	24298	
10:04:23 291.8	20.6	23516	
10:04:24 282.3	20.6	22702	
10:04:25 273.9	20.6	22208	
10:04:26 257.2	20.6	20236	
10:04:27 237.4	20.6	19403	
10:04:28 226.2	20.5	19178	
10:04:29 221.0	20.5	19024	
10:04:31 215.1	20.5	18611	
10:04:32 209.4	20.5	18526	
10:04:33 206.5	20.5	18471	
10:04:34 203.9	20.5	18402	
10:04:35 201.9	20.5	18377	
10:04:36 200.6	20.5	18373	
10:04:37 199.5	20.5	18382	
10:04:38 199.2	20.5	18481	
10:04:39 199.7	20.5	18584	
10:04:41 200.9	20.5	18673	
10:04:42 200.6	20.5	18681	
10:04:43 200.2	20.4	18670	
10:04:44 199.9	20.4	18669	
10:04:45 199.5	20.4	18688	
10:04:46 199.6	20.4	18726	
10:04:47 199.6	20.4	18802	
10:04:48 199.8	20.4	18859	
10:04:49 200.1	20.4	18948	
10:04:50 201.5	20.4	19013	
10:04:52 202.3	20.4	19115	
10:04:53 203.1	20.4	19190	
10:04:54 204.0	20.4	19302	
10:04:55 205.0	20.4	19379	
10:04:56 206.0	20.4	19488	
10:04:57 206.9	20.4	19561	
10:04:58 208.2	20.4	19636	
10:04:59 209.1	20.4	19742	
10:05:00 209.9	20.4	19816	
10:05:01 210.8	20.4	19918	
10:05:03 211.8	20.4	19985	
10:05:04 213.0	20.4	20093	
10:05:05 213.9	20.4	20167	
10:05:06 214.9	20.4	20258	
10:05:07 215.6	20.3	20322	
10:05:08 216.6	20.3	20420	
10:05:09 217.9	20.3	20523	
10:05:10 219.0	20.3	20616	
10:05:11 219.6	20.3	20674	
10:05:13 220.6	20.3	20811	
10:05:14 222.2	20.3	20934	
10:05:15 224.0	20.3	21093	
10:05:16 226.1	20.3	21293	
10:05:17 231.8	20.3	22067	
10:05:18 240.5	20.3	22684	
10:05:19 252.3	20.3	23700	
